4,876,,156
2,1217,,435
10,6944,,496
30,1902,1,45
8.5,2986,0.157,251
22.5,9135,0.049,290
51.5,7475,,104
20.2,6198,,219
6,304,1,36
6.16,455,0.463,53
8.3,1383,0.969,119
4,1220,,218
3,713,,170
2.5,694,,198
4,1580,,282
62,5467,1,63
2,1112,,397
1,149,,107
19.5,3182,0.284,98
10.8,7607,,503
23,2640,0.932,82
8,1127,,101
28,1084,1,28
4,4492,,802
24.4,5139,0.006,153
22,2198,0.083,71
52.1,22320,0.019,306
29,1379,1,34
22,1755,0.709,57
41,7689,1,134
34,2727,0.73,57
170,1715,0.58,7
31,1738,1,40
6,1719,,205
146.3,42122,,206
20,626,1,22
18.3,5534,,216
1,140,0.121,100
4,681,,122
78,8686,0.644,79
2,218,1,78
310,5241,1,12
135,10772,0.669,57
185.7,55410,0.062,214
81,5752,1,51
26,2656,0.844,73
10,1106,0.541,79
3,2020,,481
14,13288,,678
9,1920,,152
4,631,,113
16,1205,1,54
13,448,,34
223.5,55082,,176
3,453,0.528,108
6,3072,,366
8,274,0.242,25
40.5,10691,,189
1.9,139,0.341,52
64,4678,0.341,52
720,20739,1,21
3.6,74,1,21
82,578,0.815,5
31,2606,,84
16,1791,1,80
20.3,4209,,148
133,19173,0.157,103
16,761,1,34
11,725,,47
2.5,609,,174
4,94,1,17
76,6591,0.307,62
12.7,2554,,144
83,9467,,114
4,258,0.766,46
5.5,194,1,25
53,2325,1,31
141,41454,0.374,210
3.5,222,,45
14.4,2466,,122
7,382,0.22,39
12,1176,0.103,70
4.5,2879,,457
698.5,340309,0.003,348
434.1,33416,0.125,55
62,7280,0.619,84
31,1084,0.458,25
27,1893,0.376,50
103,24538,,238
21,478,1,16
193,4389,1,16
58,6868,1,85
34,8565,0.158,180
17,944,0.635,40
2.8,69,1,18
757,18594,1,18
2,307,,110
11.9,2805,0.028,167
1.67,685,0.02,293
12.9,2788,,154
4,2578,,460
110.4,12210,0.185,79
98,32233,0.327,235
19.6,9439,0.135,344
33.4,11581,,248
5,950,,136
8,3023,,270
81.93,10217,0.233,89
10.08,3744,0.237,265
2.5,2445,,699
8,4703,,420
5,94,1,14
4,191,1,34
13.6,7187,,378
5,2908,,416
15,2519,1,120
4.7,248,0.705,38
7.72,245,1,23
1,405,,289
6,3700,,441
9,2300,,183
25.9,6415,,177
1,77,1,55
3,1038,,247
1.5,178,,85
18,2318,0.853,92
39.1,7030,,128
4.8,853,0.517,127
10,1686,,120
23,297,1,9
23,1027,1,32
3,2020,,481
1.8,340,0.232,135
66,3836,1,42
16,1254,1,56
2,672,,240
7,3635,,371
2,95,0.662,34
19.4,4593,,169
146.7,75889,,370
15.7,7473,,340
112.03,7535,1,48
12,1260,1,75
4,1271,,227
3,873,,208
1.9,213,0.055,80
58,5934,1,73
82,7015,0.217,61
446,43652,0.98,70
10,2635,,188
4,63,1,11
14.34,901,1,45
486,20828,1,31
12,475,1,28
10.5,6641,,452
133.4,9792,,52
4,273,0.511,49
57,3893,0.511,49
2,487,,174
2,454,,162
200.9,54283,0.003,193
27,3741,1,99
490,18825,0.422,27
6,3583,,427
3.6,443,0.137,73
56.7,29736,,375
677,125073,0.075,132
300.7,12380,0.088,29
17,1213,1,51
190,11856,0.638,45
1.6,1209,,540
4,501,,90
1.5,537,0.06,256
5,1832,,262
23,2125,1,66
126,3905,,31
1170.7,79139,0.074,48
6,1331,,158
184,2770,1,11
1.5,292,,139
67,6463,0.253,69
9.5,4408,,332
1,93,0.955,66
4.6,260,1,40
7.2,473,1,47
104,6808,1,47
2.7,324,0.377,86
36,1868,1,37
9,301,1,24
33,3452,1,75
7,2490,,254
40,4031,1,72
1.4,141,1,72
3,164,1,39
4.5,276,,44
25.7,6135,,171
163,10802,1,47
76.8,5089,1,47
178,3959,0.346,16
2,210,1,75
8,68,0.351,6
3,157,1,37
4,645,,115
89.1,18268,,146
29.54,12155,0.031,281
1.5,533,,254
11.63,1159,0.401,78
25.1,10165,,289
1.33,106,1,57
24.6,86,1,4
1.3,101,1,56
62.7,32910,,375
1.1,80,0.234,51
0.7,50,0.234,51
9.5,957,1,72
0.7,48,1,49
132,9119,1,49
3.52,672,0.149,136
5.08,922,0.24,130
3,4779,,1138
5.14,1221,0.237,170
37.3,12994,,249
5,6679,,954
2,468,0.123,167
99,16489,0.724,119
2,110,,39
53.8,7980,,106
5,1886,,270
3,494,,118
229,24591,,107
38,5741,,151
4,2218,,396
42,2047,1,35
5,225,1,32
3,435,,104
15.81,2467,1,124
50,16392,,234
15,819,0.964,39
71,2709,1,27
1,77,1,55
260,32230,1,89
31.45,6305,1,143
9.18,2692,0.472,209
13.5,4193,,222
8,362,0.269,32
15.3,4772,,223
94.3,3034,,23
39.5,23942,,433
3.84,430,1,80
7,3804,,388
